# ref_application_id 294775143974774
# ref_asset_id -13305
"id"	"title"	"link"	"image_link"	"price"	"availability"	"condition"	"description"	"google_product_category"	"brand"	"additional_image_link"	"color"	"size"	"item_group_id"	"product_type"	"shipping"	"shipping_size"	"custom_label_0"	"custom_label_1"	"custom_label_2"	"custom_label_3"
"23212"	"Nike Wmns Blazer Low Lx Black/ Black-Sail"	"https://www.footshop.cz/cs/damske-tenisky-a-boty/23212-nike-wmns-blazer-low-lx-black-black-sail.html"	"https://www.footshop.cz/Feeds/Crop.php?img=129965"	"1490.00 CZK"	"in stock"	"new"	"Nike Wmns Blazer Low LX Black/ Black-Sail si můžete vybrat ve Footshopu jenom za 1490 Kč. Značka: Nike, Barva: Černá, Dostupné velikosti: 36.5,38,38.5,39,40,40.5,41"	"187"	"Nike"	"https://www.footshop.cz/Feeds/Crop.php?img=129966,https://www.footshop.cz/Feeds/Crop.php?img=129967,https://www.footshop.cz/Feeds/Crop.php?img=129968,https://www.footshop.cz/Feeds/Crop.php?img=129969,https://www.footshop.cz/Feeds/Crop.php?img=129970"	"Černá"	"36.5,38,38.5,39,40,40.5,41"	"23212"	"Dámské tenisky a boty"	"CZ::GLS:69 CZK"	"36.5,38,38.5,39,40,40.5,41"	"nike-blazer"	"2690 Kč"	"45"	"Dostupné velikosti: 36.5,38,38.5,39,40,40.5,41"
"23483"	"adidas NMD_XR1 Winter Beige/ Raw Gold/ Sesame/ Ftw White"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/23483-adidas-nmdxr1-winter-beige-raw-gold-sesame-ftw-white.html"	"https://www.footshop.cz/Feeds/Crop.php?img=131741"	"3190.00 CZK"	"in stock"	"new"	"adidas NMD_XR1 Winter Beige/ Raw Gold/ Sesame/ Ftw White si můžete vybrat ve Footshopu jenom za 3190 Kč. Značka: adidas Originals, Barva: Hnědá, Dostupné velikosti: 41 1/3,42,42 2/3,43 1/3,44 2/3,45 1/3,46,46 2/3,47 1/3,48,48 2/3"	"187"	"adidas Originals"	"https://www.footshop.cz/Feeds/Crop.php?img=131742,https://www.footshop.cz/Feeds/Crop.php?img=131743,https://www.footshop.cz/Feeds/Crop.php?img=131744,https://www.footshop.cz/Feeds/Crop.php?img=131745,https://www.footshop.cz/Feeds/Crop.php?img=131746"	"Hnědá"	"41 1/3,42,42 2/3,43 1/3,44 2/3,45 1/3,46,46 2/3,47 1/3,48,48 2/3"	"23483"	"Pánské tenisky a boty"	"CZ::GLS:0 CZK"	"41 1/3,42,42 2/3,43 1/3,44 2/3,45 1/3,46,46 2/3,47 1/3,48,48 2/3"	"adidas-nmd"	"4890 Kč"	"35"	"Dostupné velikosti: 41 1/3,42,42 2/3,43 1/3,44 2/3,45 1/3,46,46 2/3,47 1/3,48,48 2/3"
"21488"	"Asics Gel-Lyte Mt Aluminum/ Aluminum"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/21488-asics-gel-lyte-mt-aluminum-aluminum.html"	"https://www.footshop.cz/Feeds/Crop.php?img=120458"	"3290.00 CZK"	"in stock"	"new"	"Asics Gel-Lyte MT Aluminum/ Aluminum si můžete vybrat ve Footshopu jenom za 3290 Kč. Značka: Asics, Barva: Šedá, Dostupné velikosti: 41.5,42,42.5,45"	"187"	"Asics"	"https://www.footshop.cz/Feeds/Crop.php?img=120460,https://www.footshop.cz/Feeds/Crop.php?img=120461,https://www.footshop.cz/Feeds/Crop.php?img=120459,https://www.footshop.cz/Feeds/Crop.php?img=120462,https://www.footshop.cz/Feeds/Crop.php?img=120463"	"Šedá"	"41.5,42,42.5,45"	"21488"	"Pánské tenisky a boty"	"CZ::GLS:0 CZK"	"41.5,42,42.5,45"	"asics-gel-lyte"	"4090 Kč"	"20"	"Dostupné velikosti: 41.5,42,42.5,45"
"23981"	"Nike Air Zoom Spiridon '16 Se Moon Particle/ Sepia Stone"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/23981-nike-air-zoom-spiridon-16-se-moon-particle-sepia-stone.html"	"https://www.footshop.cz/Feeds/Crop.php?img=134993"	"3790.00 CZK"	"in stock"	"new"	"Nike Air Zoom Spiridon '16 SE Moon Particle/ Sepia Stone si můžete vybrat ve Footshopu jenom za 3790 Kč. Značka: Nike, Barva: Hnědá, Dostupné velikosti: 41,42,42.5,44,44.5,45,45.5,47.5"	"187"	"Nike"	"https://www.footshop.cz/Feeds/Crop.php?img=134994,https://www.footshop.cz/Feeds/Crop.php?img=134995,https://www.footshop.cz/Feeds/Crop.php?img=134996,https://www.footshop.cz/Feeds/Crop.php?img=134997,https://www.footshop.cz/Feeds/Crop.php?img=134998"	"Hnědá"	"41,42,42.5,44,44.5,45,45.5,47.5"	"23981"	"Pánské tenisky a boty"	"CZ::GLS:0 CZK"	"41,42,42.5,44,44.5,45,45.5,47.5"	"nike-zoom-spiridon"	""	""	"Dostupné velikosti: 41,42,42.5,44,44.5,45,45.5,47.5"
"24108"	"adidas Superstar 80s Decon Ftw White/ Ftw White/ Brown"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/24108-adidas-superstar-80s-decon-ftw-white-ftw-white-brown.html"	"https://www.footshop.cz/Feeds/Crop.php?img=136040"	"2290.00 CZK"	"in stock"	"new"	"adidas Superstar 80s Decon Ftw White/ Ftw White/ Brown si můžete vybrat ve Footshopu jenom za 2290 Kč. Značka: adidas Originals, Barva: Bílá, Dostupné velikosti: 44,44 2/3,45 1/3,46,46 2/3,48,48 2/3"	"187"	"adidas Originals"	"https://www.footshop.cz/Feeds/Crop.php?img=136042,https://www.footshop.cz/Feeds/Crop.php?img=136043,https://www.footshop.cz/Feeds/Crop.php?img=136041,https://www.footshop.cz/Feeds/Crop.php?img=136044,https://www.footshop.cz/Feeds/Crop.php?img=136045"	"Bílá"	"44,44 2/3,45 1/3,46,46 2/3,48,48 2/3"	"24108"	"Pánské tenisky a boty"	"CZ::GLS:69 CZK"	"44,44 2/3,45 1/3,46,46 2/3,48,48 2/3"	"adidas-superstar"	"3790 Kč"	"40"	"Dostupné velikosti: 44,44 2/3,45 1/3,46,46 2/3,48,48 2/3"
"817"	"Vans Authentic White"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/817-vans-authentic-bila.html"	"https://www.footshop.cz/Feeds/Crop.php?img=57879"	"1190.00 CZK"	"in stock"	"new"	"Vans Authentic White si můžete vybrat ve Footshopu jenom za 1190 Kč. Značka: Vans, Barva: Bílá, Dostupné velikosti: 36,36.5,37,38,38.5,39,40,40.5,41,42,42.5,43,44,44.5,45,46,47"	"187"	"Vans"	"https://www.footshop.cz/Feeds/Crop.php?img=57880,https://www.footshop.cz/Feeds/Crop.php?img=57881,https://www.footshop.cz/Feeds/Crop.php?img=57882,https://www.footshop.cz/Feeds/Crop.php?img=57883,https://www.footshop.cz/Feeds/Crop.php?img=57884"	"Bílá"	"36,36.5,37,38,38.5,39,40,40.5,41,42,42.5,43,44,44.5,45,46,47"	"817"	"Pánské tenisky a boty"	"CZ::GLS:69 CZK"	"36,36.5,37,38,38.5,39,40,40.5,41,42,42.5,43,44,44.5,45,46,47"	"vans-authentic"	"1490 Kč"	"20"	"Dostupné velikosti: 36,36.5,37,38,38.5,39,40,40.5,41,42,42.5,43,44,44.5,45,46,47"
"25180"	"Asics Gel-Ptg Mt Tan/ Tan"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/25180-asics-gel-ptg-mt-tan-tan.html"	"https://www.footshop.cz/Feeds/Crop.php?img=140314"	"2290.00 CZK"	"in stock"	"new"	"Asics Gel-PTG MT Tan/ Tan si můžete vybrat ve Footshopu jenom za 2290 Kč. Značka: Asics, Barva: Hnědá, Dostupné velikosti: 42.5,43.5,44,44.5,45,46,46.5,47,48"	"187"	"Asics"	"https://www.footshop.cz/Feeds/Crop.php?img=140315,https://www.footshop.cz/Feeds/Crop.php?img=140316,https://www.footshop.cz/Feeds/Crop.php?img=140317,https://www.footshop.cz/Feeds/Crop.php?img=140318,https://www.footshop.cz/Feeds/Crop.php?img=140319"	"Hnědá"	"42.5,43.5,44,44.5,45,46,46.5,47,48"	"25180"	"Pánské tenisky a boty"	"CZ::GLS:69 CZK"	"42.5,43.5,44,44.5,45,46,46.5,47,48"	""	"4590 Kč"	"50"	"Dostupné velikosti: 42.5,43.5,44,44.5,45,46,46.5,47,48"
"25267"	"Nike Air Woven Boot Black/ Black-Dark Russet-Black"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/25267-nike-air-woven-boot-black-black-dark-russet-black.html"	"https://www.footshop.cz/Feeds/Crop.php?img=140681"	"3290.00 CZK"	"in stock"	"new"	"Nike Air Woven Boot Black/ Black-Dark Russet-Black si můžete vybrat ve Footshopu jenom za 3290 Kč. Značka: Nike, Barva: Černá, Dostupné velikosti: 41,42.5,44,45,46"	"187"	"Nike"	"https://www.footshop.cz/Feeds/Crop.php?img=140682,https://www.footshop.cz/Feeds/Crop.php?img=140683,https://www.footshop.cz/Feeds/Crop.php?img=140684,https://www.footshop.cz/Feeds/Crop.php?img=140685,https://www.footshop.cz/Feeds/Crop.php?img=140686"	"Černá"	"41,42.5,44,45,46"	"25267"	"Pánské tenisky a boty"	"CZ::GLS:0 CZK"	"41,42.5,44,45,46"	""	"4590 Kč"	"28"	"Dostupné velikosti: 41,42.5,44,45,46"
"25389"	"adidas Superstar OG Ftw White/ Core Black/ Off White"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/25389-adidas-superstar-og-ftw-white-core-black-off-white.html"	"https://www.footshop.cz/Feeds/Crop.php?img=141305"	"3190.00 CZK"	"in stock"	"new"	"adidas Superstar OG Ftw White/ Core Black/ Off White si můžete vybrat ve Footshopu jenom za 3190 Kč. Značka: adidas Originals, Barva: Bílá, Dostupné velikosti: 42 2/3,43 1/3,44,44 2/3,45 1/3,46,46 2/3,47 1/3,48,48 2/3,49 1/3"	"187"	"adidas Originals"	"https://www.footshop.cz/Feeds/Crop.php?img=141307,https://www.footshop.cz/Feeds/Crop.php?img=141308,https://www.footshop.cz/Feeds/Crop.php?img=141306,https://www.footshop.cz/Feeds/Crop.php?img=141309,https://www.footshop.cz/Feeds/Crop.php?img=141310"	"Bílá"	"42 2/3,43 1/3,44,44 2/3,45 1/3,46,46 2/3,47 1/3,48,48 2/3,49 1/3"	"25389"	"Pánské tenisky a boty"	"CZ::GLS:0 CZK"	"42 2/3,43 1/3,44,44 2/3,45 1/3,46,46 2/3,47 1/3,48,48 2/3,49 1/3"	"adidas-superstar"	""	""	"Dostupné velikosti: 42 2/3,43 1/3,44,44 2/3,45 1/3,46,46 2/3,47 1/3,48,48 2/3,49 1/3"
"25458"	"Reebok Floatride 6000 White/ Skull Grey/ Stucco"	"https://www.footshop.cz/cs/damske-tenisky-a-boty/25458-reebok-floatride-6000-white-skull-grey-stucco.html"	"https://www.footshop.cz/Feeds/Crop.php?img=141275"	"2290.00 CZK"	"in stock"	"new"	"Reebok Floatride 6000 White/ Skull Grey/ Stucco si můžete vybrat ve Footshopu jenom za 2290 Kč. Značka: Reebok Performance, Barva: Šedá, Dostupné velikosti: 37.5,38,38.5,39"	"187"	"Reebok Performance"	"https://www.footshop.cz/Feeds/Crop.php?img=141277,https://www.footshop.cz/Feeds/Crop.php?img=141278,https://www.footshop.cz/Feeds/Crop.php?img=141276,https://www.footshop.cz/Feeds/Crop.php?img=141279,https://www.footshop.cz/Feeds/Crop.php?img=141280"	"Šedá"	"37.5,38,38.5,39"	"25458"	"Dámské tenisky a boty"	"CZ::GLS:69 CZK"	"37.5,38,38.5,39"	""	"3790 Kč"	"40"	"Dostupné velikosti: 37.5,38,38.5,39"
"25988"	"Le Coq Sportif Jane Embroidery Black/ Tango Red"	"https://www.footshop.cz/cs/damske-tenisky-a-boty/25988-le-coq-sportif-jane-embroidery-black-tango-red.html"	"https://www.footshop.cz/Feeds/Crop.php?img=143391"	"1790.00 CZK"	"in stock"	"new"	"le coq sportif Jane Embroidery Black/ Tango Red si můžete vybrat ve Footshopu jenom za 1790 Kč. Značka: LE COQ SPORTIF, Barva: Černá, Dostupné velikosti: 36,37,38,40"	"187"	"LE COQ SPORTIF"	"https://www.footshop.cz/Feeds/Crop.php?img=143393,https://www.footshop.cz/Feeds/Crop.php?img=143394,https://www.footshop.cz/Feeds/Crop.php?img=143392,https://www.footshop.cz/Feeds/Crop.php?img=143395,https://www.footshop.cz/Feeds/Crop.php?img=143396"	"Černá"	"36,37,38,40"	"25988"	"Dámské tenisky a boty"	"CZ::GLS:69 CZK"	"36,37,38,40"	""	"3590 Kč"	"50"	"Dostupné velikosti: 36,37,38,40"
"26737"	"adidas Campus Stitch And Turn Mystery Ruby/ Mystery Ruby/ Ftw White"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/26737-adidas-campus-stitch-and-turn-mystery-ruby-mystery-ruby-ftw-white.html"	"https://www.footshop.cz/Feeds/Crop.php?img=147521"	"1890.00 CZK"	"in stock"	"new"	"adidas Campus Stitch And Turn Mystery Ruby/ Mystery Ruby/ Ftw White si můžete vybrat ve Footshopu jenom za 1890 Kč. Značka: adidas Originals, Barva: Červená, Dostupné velikosti: 42,43 1/3,44,44 2/3,46 2/3,47 1/3"	"187"	"adidas Originals"	"https://www.footshop.cz/Feeds/Crop.php?img=147523,https://www.footshop.cz/Feeds/Crop.php?img=147524,https://www.footshop.cz/Feeds/Crop.php?img=147522,https://www.footshop.cz/Feeds/Crop.php?img=147525,https://www.footshop.cz/Feeds/Crop.php?img=147526"	"Červená"	"42,43 1/3,44,44 2/3,46 2/3,47 1/3"	"26737"	"Pánské tenisky a boty"	"CZ::GLS:69 CZK"	"42,43 1/3,44,44 2/3,46 2/3,47 1/3"	"adidas-campus"	"2690 Kč"	"30"	"Dostupné velikosti: 42,43 1/3,44,44 2/3,46 2/3,47 1/3"
"26945"	"Vans Slip-On 47 V Dx (Anaheim Factory) Og Navy"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/26945-vans-slip-on-47-v-dx-anaheim-factory-og-navy.html"	"https://www.footshop.cz/Feeds/Crop.php?img=148594"	"1790.00 CZK"	"in stock"	"new"	"Vans Slip-On 47 V DX (Anaheim Factory) OG Navy si můžete vybrat ve Footshopu jenom za 1790 Kč. Značka: Vans, Barva: Modrá, Dostupné velikosti: 36,36.5,37,38,39,40,40.5,42,42.5,44.5,45,47"	"187"	"Vans"	"https://www.footshop.cz/Feeds/Crop.php?img=148596,https://www.footshop.cz/Feeds/Crop.php?img=148597,https://www.footshop.cz/Feeds/Crop.php?img=148595,https://www.footshop.cz/Feeds/Crop.php?img=148598,https://www.footshop.cz/Feeds/Crop.php?img=148599"	"Modrá"	"36,36.5,37,38,39,40,40.5,42,42.5,44.5,45,47"	"26945"	"Pánské tenisky a boty"	"CZ::GLS:69 CZK"	"36,36.5,37,38,39,40,40.5,42,42.5,44.5,45,47"	"vans-slip-on"	""	""	"Dostupné velikosti: 36,36.5,37,38,39,40,40.5,42,42.5,44.5,45,47"
"27160"	"Nike Free Run Commuter 2017 Vast Grey/ White"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/27160-nike-free-run-commuter-2017-vast-grey-white.html"	"https://www.footshop.cz/Feeds/Crop.php?img=149958"	"2990.00 CZK"	"in stock"	"new"	"Nike Free Run Commuter 2017 Vast Grey/ White si můžete vybrat ve Footshopu jenom za 2990 Kč. Značka: Nike, Barva: Šedá, Dostupné velikosti: 38.5,39,40,40.5,41,42,42.5,43,44,44.5"	"187"	"Nike"	"https://www.footshop.cz/Feeds/Crop.php?img=149960,https://www.footshop.cz/Feeds/Crop.php?img=149961,https://www.footshop.cz/Feeds/Crop.php?img=149959,https://www.footshop.cz/Feeds/Crop.php?img=149962,https://www.footshop.cz/Feeds/Crop.php?img=149963"	"Šedá"	"38.5,39,40,40.5,41,42,42.5,43,44,44.5"	"27160"	"Pánské tenisky a boty"	"CZ::GLS:0 CZK"	"38.5,39,40,40.5,41,42,42.5,43,44,44.5"	"nike-free"	""	""	"Dostupné velikosti: 38.5,39,40,40.5,41,42,42.5,43,44,44.5"
